sensor_index,Sensor Name,time_stamp,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b
195055,MNUMS 121,1717491600,429,6312,11.0,11.0,11.0,94.0,94.0,94.0,861.596,861.596,861.596,88.122,,88.122,0.4,0.8,0.8,,2.7,2.7,,2.8,2.8,,293.6,293.6,,182.518,182.518,,47.76,47.76,,7.761,7.761,,0.916,0.916,,0.543,0.543,,0.114,0.114,,0.05,0.05,,0.05,0.05,,0.348,0.348,,0.348,0.348,,0.649,0.649,,0.649,0.649,
195055,MNUMS 121,1717484400,534,6315,11.0,11.0,11.0,93.034,93.034,93.034,862.656,862.656,862.656,66.658,,66.658,0.417,1.0,1.0,,3.4,3.4,,3.4,3.4,,277.4,277.4,,225.617,225.617,,60.035,60.035,,10.482,10.482,,1.741,1.741,,1.066,1.066,,0.171,0.171,,0.213,0.213,,0.213,0.213,,0.673,0.673,,0.673,0.673,,1.337,1.337,,1.337,1.337,
195055,MNUMS 121,1717538400,427,6306,13.0,13.0,13.0,94.066,94.066,94.066,859.542,859.542,859.542,80.954,,80.954,0.449,1.6,1.6,,4.5,4.5,,4.3,4.3,,252.8,252.8,,301.438,301.438,,82.523,82.523,,22.412,22.412,,4.461,4.461,,2.813,2.813,,0.695,0.695,,0.48,0.48,,0.48,0.48,,1.599,1.599,,1.599,1.599,,3.466,3.466,,3.466,3.466,
195055,MNUMS 121,1717495200,462,6306,11.566,11.566,11.566,94.034,94.034,94.034,861.585,861.585,861.585,94.397,,94.397,0.325,0.7,0.7,,2.4,2.4,,2.6,2.6,,301.9,301.9,,162.101,162.101,,42.073,42.073,,7.72,7.72,,0.879,0.879,,0.457,0.457,,0.057,0.057,,0.013,0.013,,0.013,0.013,,0.24,0.24,,0.24,0.24,,0.519,0.519,,0.519,0.519,
195055,MNUMS 121,1717527600,434,6289,13.0,13.0,13.0,94.0,94.0,94.0,859.799,859.799,859.799,80.105,,80.105,0.407,1.7,1.7,,5.1,5.1,,4.7,4.7,,242.6,242.6,,337.484,337.484,,89.551,89.551,,21.005,21.005,,3.472,3.472,,2.179,2.179,,0.315,0.315,,0.695,0.695,,0.695,0.695,,1.736,1.736,,1.736,1.736,,3.116,3.116,,3.116,3.116,
195055,MNUMS 121,1717502400,459,6328,13.0,13.0,13.0,94.0,94.0,94.0,862.792,862.792,862.792,94.33,,94.33,0.386,1.2,1.2,,3.8,3.8,,3.8,3.8,,267.4,267.4,,254.573,254.573,,66.874,66.874,,13.223,13.223,,2.017,2.017,,1.0,1.0,,0.114,0.114,,0.325,0.325,,0.325,0.325,,0.939,0.939,,0.939,0.939,,1.618,1.618,,1.618,1.618,
195055,MNUMS 121,1717524000,440,6297,13.0,13.0,13.0,94.066,94.066,94.066,860.814,860.814,860.814,85.16,,85.16,0.422,1.5,1.5,,4.9,4.9,,4.7,4.7,,244.8,244.8,,329.362,329.362,,87.977,87.977,,15.514,15.514,,1.849,1.849,,0.958,0.958,,0.184,0.184,,0.659,0.659,,0.659,0.659,,1.391,1.391,,1.391,1.391,,2.044,2.044,,2.044,2.044,
195055,MNUMS 121,1717498800,471,6320,12.6,12.6,12.6,94.0,94.0,94.0,862.881,862.881,862.881,91.751,,91.751,0.414,1.2,1.2,,3.8,3.8,,3.7,3.7,,268.5,268.5,,251.391,251.391,,65.507,65.507,,13.843,13.843,,2.005,2.005,,1.127,1.127,,0.214,0.214,,0.291,0.291,,0.291,0.291,,0.91,0.91,,0.91,0.91,,1.609,1.609,,1.609,1.609,
195055,MNUMS 121,1717513200,439,6349,13.0,13.0,13.0,94.0,94.0,94.0,861.983,861.983,861.983,90.831,,90.831,0.451,1.6,1.6,,5.2,5.2,,4.8,4.8,,240.2,240.2,,346.458,346.458,,91.206,91.206,,17.141,17.141,,2.141,2.141,,1.235,1.235,,0.215,0.215,,0.732,0.732,,0.732,0.732,,1.553,1.553,,1.553,1.553,,2.367,2.367,,2.367,2.367,
195055,MNUMS 121,1717473600,428,6326,19.2,19.2,19.2,83.55,83.55,83.55,864.909,864.909,864.909,56.585,,56.585,0.924,1.4,1.4,,4.4,4.4,,4.3,4.3,,254.4,254.4,,296.153,296.153,,77.067,77.067,,15.555,15.555,,2.508,2.508,,1.738,1.738,,0.587,0.587,,0.246,0.246,,0.246,0.246,,0.751,0.751,,0.751,0.751,,1.886,1.886,,1.886,1.886,
195055,MNUMS 121,1717480800,490,6300,12.767,12.767,12.767,92.534,92.534,92.534,863.533,863.533,863.533,65.261,,65.261,0.443,1.1,1.1,,3.8,3.8,,3.8,3.8,,267.1,267.1,,255.614,255.614,,67.725,67.725,,11.741,11.741,,1.257,1.257,,0.63,0.63,,0.101,0.101,,0.321,0.321,,0.321,0.321,,0.87,0.87,,0.87,0.87,,1.282,1.282,,1.282,1.282,
